"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","TikTok","Facebook","Google_Ads","cluster","top_sol"
"1","1_65_15",0,0.0369134281556211,0.40480524821071,0.65459949160833,0.0762115957967353,0.0118717599594143,0.0271812923494113,0.0184768895473102,2,FALSE
"2","1_67_17",0,0.00702704381960274,0.799706707777401,0.927678927166732,0.123517680859296,0.0840034289074138,0.0884530738709276,0.100258145806871,7,FALSE
"3","1_67_19",0,0.000797436401824127,1.15418276036364,1.26754729754933,0.177686361212272,0.44367320673551,0.448606865828762,0.455920576353154,6,FALSE
"4","1_68_13",0,0.000496676267809616,0.946105990204498,1.10853763301433,0.16248859127247,0.237293111243543,0.24541618028149,0.25287971875675,9,FALSE
"5","1_68_14",0,0.0122753469665922,0.656916656489537,0.859513084261232,0.110645809841038,0.0612625955125782,0.0761451601882394,0.0767493525888554,5,FALSE
"6","1_73_18",0,0.00205966502934322,0.945992830732727,1.1062508079798,0.16253249289328,0.237344881515337,0.245404305861213,0.256148120153717,9,FALSE
"7","1_76_21",0,0.00751511334789767,0.839708471955361,0.98068277183425,0.144859225752857,0.165908110571461,0.170525047880227,0.174246127941326,4,FALSE
"8","1_76_4",0,0.0248287029826815,0.520418703770804,0.733842339437697,0.094348388535716,0.0395106275704066,0.0514113248666121,0.0461783202783022,1,FALSE
"9","1_79_1",0,0.00713198119404655,0.774764432238016,0.941159246351991,0.121754437625832,0.0906326652611465,0.0957473964966015,0.104570018110408,7,FALSE
"10","1_79_18",0,0.0579872843882525,0.313500489135064,0.562087264394803,0.0654145190756011,0.00456106377763431,0.0192436922468487,0.00424275312768862,8,FALSE
"11","1_79_21",0,0.0258908726530426,0.506333210843057,0.710653508940943,0.0915379371465284,0.0401954412333931,0.0472132651645074,0.0447807862476807,1,FALSE
"12","1_80_21",0,0.00176360081723235,0.952673109641127,1.07661203142818,0.128535411645087,0.110142957812128,0.117587517597805,0.128050283033883,4,FALSE
"13","1_80_4",0,0.0375847452423526,0.354486231656831,0.599424707293821,0.0697380832448217,0.00977156552193296,0.0142966276479963,0.0134222253535461,8,TRUE
"14","1_81_10",0,0.0154945260962441,0.647825608195249,0.772937440135639,0.10672502615059,0.064330801021895,0.0715382724738724,0.0726386698317322,5,FALSE
"15","1_81_15",0,0.00313562270398807,0.775735720100403,0.944445866184449,0.12205218408832,0.0879366498974643,0.0959379237473485,0.104403013556834,7,FALSE
"16","1_81_5",0,0.0261985519052738,0.510455870638049,0.712751348692236,0.0918227761861353,0.0401602930011918,0.0488512521208201,0.0448829944763123,1,FALSE
"17","1_82_12",0,0.0227406485743338,0.517301521925831,0.719732729441932,0.0931659546513118,0.0384707148143831,0.0412108353548181,0.0456829301721208,1,FALSE
"18","1_82_17",0,0.0417433387426764,0.384185122320011,0.592379323355508,0.0661777071331762,0.00137420392851352,0.0190376784024216,0.00934237090549494,8,FALSE
"19","1_83_1",0,0.017133768434806,0.557063483891778,0.790382532737048,0.103675804505802,0.0517146038499339,0.0634318957240506,0.0615262163743757,5,FALSE
"20","1_83_14",0,0.00527309617513738,0.743624331871562,0.912179093947165,0.109601837438121,0.0657561871557301,0.0780631474479347,0.0880069823103679,5,FALSE
"21","1_83_2",0,0.00277607521629395,0.849253132857456,1.00102336322932,0.132690977392535,0.120672192852982,0.131058080197477,0.137667266580605,4,FALSE
"22","1_83_23",0,0.038652897063411,0.402033623722195,0.614582971143931,0.0696818377926933,0.0180736621423729,0.0192495947876733,0.0201614983102614,2,FALSE
"23","1_83_5",0,0.00395392253970983,0.871208214783614,1.02644054422092,0.126384600332884,0.115905672368474,0.123906568251673,0.130406309713798,4,FALSE
"24","1_84_10",0,0.0538574552238142,0.347003246670633,0.57338252723334,0.0673655663452309,0.0238735947845679,0.0231402033278458,0.0178845896211297,2,FALSE
"25","1_84_21",0,0.00654164541506546,0.813491252000628,0.937513170443233,0.109743142664811,0.0685347571124471,0.0736950022094116,0.0868337160155913,5,FALSE
"26","1_84_23",0,0.0579758334899434,0.337486109746267,0.562443515915676,0.0641989937657363,0.00505343516442828,0.0166896837806237,0.00353621937407622,8,FALSE
"27","1_84_9",0,0.00673738794597384,0.643637033094531,0.852195994841994,0.116975643330355,0.0806043452432897,0.0892252911299983,0.0943851024005281,7,FALSE
"28","1_85_16",0,0.00662701786088816,0.651076395140105,0.83367103479488,0.116697033540447,0.0809173257303621,0.088992732243952,0.0947043869667975,7,TRUE
"29","1_85_17",0,0.0451440813016467,0.348353854442163,0.579543096196521,0.0680687118743869,0.0190120909889015,0.0245132377852345,0.0177988921138748,2,FALSE
"30","1_85_21",0,0.0153641133677376,0.636416317032144,0.760374601009974,0.1053153538338,0.0582293713605331,0.068435653107058,0.0678772083915799,5,TRUE
"31","1_85_7",0,0.0264432121042815,0.413331382287621,0.636787982403023,0.0716050848984948,0.0111285053227766,0.0199853253778335,0.0195701477321896,2,TRUE
"32","1_86_14",0,0.0382661412649471,0.399469806533828,0.611026148899658,0.0693026900606289,0.0181038713886965,0.0208268311300317,0.0200593373727847,2,FALSE
"33","1_86_22",0,0.0173337819662178,0.555480916629814,0.781816643200002,0.102908872062712,0.0562623648033812,0.0618065520451998,0.06414178587556,5,FALSE
"34","1_86_23",0,0.00800814613540798,0.637579837764165,0.858385348156154,0.11728431979442,0.0785508988257715,0.0924378333397378,0.0962302336011754,7,FALSE
"35","1_86_3",0,0.0163558027469157,0.621755037112956,0.820730354828595,0.111585282992672,0.0664415681460106,0.0743143403801728,0.0740429009427235,5,FALSE
"36","1_86_5",0,0.0116662349435033,0.595499537684264,0.766482524605004,0.0889886925736522,0.0368634247702872,0.0455166472111873,0.0500302444059476,1,FALSE
"37","1_86_7",0,0.0641451695834097,0.31947510521803,0.554881531949115,0.0632040167720149,0.00477499844492035,0.0199516227320512,0.00251784007742191,8,FALSE
"38","1_87_13",0,0.0174472657058189,0.579343616967259,0.797856069853722,0.0946110223788786,0.0395888073220876,0.0476627618684532,0.049097804529508,1,FALSE
"39","1_87_16",0,0.00517184991152717,0.840434287150555,0.909217222412026,0.131302849542236,0.111684968825609,0.11667761091866,0.127275003571608,4,TRUE
"40","1_87_17",0,0.0194756621665291,0.512205804201967,0.740847175097915,0.0952672225276825,0.0389058049684299,0.0407200582803535,0.0492701570748566,1,FALSE
"41","1_87_21",0,0.034129454030641,0.403547204205331,0.622334318884788,0.070378567493528,0.0159093391528577,0.0209936863759728,0.0199593682367874,2,FALSE
"42","1_87_22",0,0.0384331143038247,0.392003514191294,0.605822731461884,0.0672771921494345,0.00125462273047325,0.0164124057168574,0.00900595708481706,8,FALSE
"43","1_87_3",0,0.00444567282816904,0.867042851214038,1.03072895508487,0.126617415888218,0.114965921389036,0.126094217687435,0.130958041416955,4,FALSE
"44","2_54_10",0,0.046528961676487,0.360965311012329,0.606633887292979,0.0684640266464209,0.00772833657572373,0.0182399890878316,0.00927060078387843,8,FALSE
"45","2_68_3",0,0.0665729428424583,0.309563211659527,0.542232357657862,0.0620712039639919,0.0121732537901228,0.0167392150382271,0.00443380038507701,8,FALSE
"46","2_71_22",0,0.0388836106226369,0.401223224223281,0.64796253544918,0.0789844285715663,0.0231593589559248,0.0428398601682579,0.0297314849552884,1,FALSE
