"","ds","dep_var","TikTok","Facebook","Google_Ads","intercept","depVarHat","solID"
"1",2018-01-07,9779.8,4990.10267791773,0,0,5040.49513459491,10030.5978125126,"5_86_3"
"2",2018-01-14,13245.19,3442.35130317134,2687.51921575577,1594.50027595912,5040.49513459491,12764.8659294811,"5_86_3"
"3",2018-01-21,12022.66,2134.96524032825,2721.68637460603,2155.43319584013,5040.49513459491,12052.5799453693,"5_86_3"
"4",2018-01-28,8846.95,1220.09002328161,2573.48979687077,64.7393254355905,5040.49513459491,8898.81428018288,"5_86_3"
"5",2018-02-04,9797.07,660.921817965602,1066.14600347998,1788.50949462624,5040.49513459491,8556.07245066672,"5_86_3"
"6",2018-02-11,13527.65,4338.46206882365,2501.40841654795,2125.71272251834,5040.49513459491,14006.0783424849,"5_86_3"
"7",2018-02-18,9635.43,2857.74572694426,1019.8911456815,2567.22175664739,5040.49513459491,11485.3537638681,"5_86_3"
"8",2018-02-25,15355.11,4654.07217726764,2540.78628320153,2389.82295331377,5040.49513459491,14625.1765483779,"5_86_3"
"9",2018-03-04,12199.37,3134.15134051743,2418.81609282823,2084.37936647686,5040.49513459491,12677.8419344174,"5_86_3"
"10",2018-03-11,11368.23,1905.51810371128,2728.77224721593,2398.92593343914,5040.49513459491,12073.7114189613,"5_86_3"
"11",2018-03-18,8640.44,1074.15518378327,2791.34526184197,77.8522986456999,5040.49513459491,8983.84787886584,"5_86_3"
"12",2018-03-25,4960.26,577.072105661779,1215.44435910051,1.42962841264646,5040.49513459491,6834.44122776984,"5_86_3"
"13",2018-04-01,12726.46,4790.08782082811,2830.44943820783,0.0258827665981505,5040.49513459491,12661.0582763974,"5_86_3"
"14",2018-04-08,11421.71,4993.2290623247,1243.87166143233,0.000468474342440063,5040.49513459491,11277.5963268263,"5_86_3"
"15",2018-04-15,10875.31,3445.28931552127,397.467121853805,1061.73960054024,5040.49513459491,9944.99117251022,"5_86_3"
"16",2018-04-22,13048.08,4816.69742710397,110.867157567094,1815.14139577612,5040.49513459491,11783.2011150421,"5_86_3"
"17",2018-04-29,10775.86,3281.45489448397,29.6488676110001,2429.08871766219,5040.49513459491,10780.6876143521,"5_86_3"
"18",2018-05-06,15013.62,4678.17982844227,2645.3128894717,2138.47501751381,5040.49513459491,14502.4628700227,"5_86_3"
"19",2018-05-13,14158.32,5002.59687729008,1113.73813826105,2111.4546094048,5040.49513459491,13268.2847595508,"5_86_3"
"20",2018-05-20,15918.14,4862.07191009276,2580.57480603523,2069.08164046181,5040.49513459491,14552.2234911847,"5_86_3"
"21",2018-05-27,11128.75,3323.16882523143,1070.77286350032,2256.8462441415,5040.49513459491,11691.2830674682,"5_86_3"
"22",2018-06-03,12170.36,4872.07074529622,332.262990956531,2141.81618658003,5040.49513459491,12386.6450574277,"5_86_3"
"23",2018-06-10,10134.7,3332.39762011155,91.7810024606089,1758.42442517588,5040.49513459491,10223.098182343,"5_86_3"
"24",2018-06-17,11093.55,4548.47051511356,2344.66967225555,47.0948020912676,5040.49513459491,11980.7301240553,"5_86_3"
"25",2018-06-24,8170.63,3040.3022001002,924.194223554291,0.859870988241629,5040.49513459491,9005.85142923765,"5_86_3"
"26",2018-07-01,6542.71,1837.43490541715,279.926269183753,0.0155659342683449,5040.49513459491,7157.87187513008,"5_86_3"
"27",2018-07-08,11325.8,1031.61297282365,2630.66722963779,1525.7476176448,5040.49513459491,10228.5229547011,"5_86_3"
"28",2018-07-15,7793.24,552.888278843074,1103.90815402653,2238.87317497848,5040.49513459491,8936.16474244299,"5_86_3"
"29",2018-07-22,15010.94,4948.15769838873,2811.20937734198,2102.8207402594,5040.49513459491,14902.682950585,"5_86_3"
"30",2018-07-29,10634.31,3403.06208736658,2565.58515700673,62.158564037341,5040.49513459491,11071.3009430056,"5_86_3"
"31",2018-08-05,11751.39,2105.20375724425,2813.02502234422,1364.72980656819,5040.49513459491,11323.4537207516,"5_86_3"
"32",2018-08-12,9151.2,1200.9341471711,3055.42950351576,33.0058214087182,5040.49513459491,9329.86460669049,"5_86_3"
"33",2018-08-19,9141.46,649.836040442593,1418.21475632292,2191.57177830362,5040.49513459491,9300.11770966403,"5_86_3"
"34",2018-08-26,7399.92,340.941243910608,2783.96114738255,66.5606766657444,5040.49513459491,8231.95820255381,"5_86_3"
"35",2018-09-02,10893.16,4518.67285452991,2372.82796507484,1.21970037406599,5040.49513459491,11933.2156545737,"5_86_3"
"36",2018-09-09,11550.47,3014.07224049991,2594.82559181435,985.700344598417,5040.49513459491,11635.0933115076,"5_86_3"
"37",2018-09-16,8672.09,1818.55125100481,1080.12381691536,1899.41237365754,5040.49513459491,9838.58257617262,"5_86_3"
"38",2018-09-23,9427.22,1019.87391768681,2220.06966638285,1876.77454955057,5040.49513459491,10157.2132682151,"5_86_3"
"39",2018-09-30,8036.91,546.2354181795,852.543527516755,1815.54388067674,5040.49513459491,8254.81796096791,"5_86_3"
"40",2018-10-07,11240.58,4532.45235048552,255.242677255955,1811.13835904076,5040.49513459491,11639.3285213771,"5_86_3"
"41",2018-10-14,12386.83,4683.58417157234,69.7074272305386,2624.90747864817,5040.49513459491,12418.6942120459,"5_86_3"
"42",2018-10-21,12513.84,4635.10501034431,18.5318507121368,2309.29012604574,5040.49513459491,12003.4221216971,"5_86_3"
"43",2018-10-28,12235.08,4547.02537127418,2736.07704902175,72.7866362318037,5040.49513459491,12396.3841911226,"5_86_3"
"44",2018-11-04,11895.78,5248.82315380627,1176.14370140598,1.33534064529561,5040.49513459491,11466.7973304525,"5_86_3"
"45",2018-11-11,10047.41,3690.07716145486,371.497817336047,0.024175309464637,5040.49513459491,9102.09428869528,"5_86_3"
"46",2018-11-18,9705.39,2326.18707345655,103.220977333804,1501.03266951959,5040.49513459491,8970.93585490486,"5_86_3"
"47",2018-11-25,8847.19,1344.82270670352,2538.10000683377,37.5635957379906,5040.49513459491,8960.98144387019,"5_86_3"
"48",2018-12-02,10379.07,733.702248608421,2689.51112742182,1561.71628741956,5040.49513459491,10025.4247980447,"5_86_3"
"49",2018-12-09,11312.48,386.731584434023,3029.47705736035,2299.82901797579,5040.49513459491,10756.5327943651,"5_86_3"
"50",2018-12-16,8226.23,199.998566554792,1397.10993153275,1781.92653085778,5040.49513459491,8419.53016354023,"5_86_3"
"51",2018-12-23,13966.11,4360.08035223092,2985.63119133301,2261.65512201255,5040.49513459491,14647.8618001714,"5_86_3"
"52",2018-12-30,13460.32,2876.29252188089,3085.79324282162,2711.22818921245,5040.49513459491,13713.8090885099,"5_86_3"
"53",2019-01-06,15742.61,4564.71954284275,2859.44364388458,2365.46532043065,5040.49513459491,14830.1236417529,"5_86_3"
"54",2019-01-13,10440.98,3054.65206212862,1265.29125174176,2505.43562249911,5040.49513459491,11865.8740709644,"5_86_3"
"55",2019-01-20,8535.49,1847.79242331299,405.806547663901,2499.38202131951,5040.49513459491,9793.47612689131,"5_86_3"
"56",2019-01-27,7801.58,1038.06286304664,113.3352104804,2112.61571165233,5040.49513459491,8304.50891977428,"5_86_3"
